命令语法不正确。
INFO - 11/24/25 21:08:51 - 0:00:00 - ============ Initialized logger ============
INFO - 11/24/25 21:08:51 - 0:00:00 - The experiment will be stored in C:\Users\paichichi\Documents\data\mmkg\dump/1124-IJCAI_MEAformer_sf_0_500-1000-IL\MEAformer_FBDB15K_0.2_v1_norm_0.2
                                     
INFO - 11/24/25 21:08:51 - 0:00:00 - Running command: python main.py --gpu 0 --eval_epoch 50 --only_test 0 --model_name MEAformer --data_choice FBDB15K --data_split norm --data_rate '0.2' --epoch 1000 --lr '5e-4' --hidden_units '300,300,300' --save_model 0 --batch_size 3500 --semi_learn_step 5 --csls --csls_k 3 --random_seed 42 --exp_name 'IJCAI_MEAformer_sf_0_500-1000-IL' --exp_id 'v1_norm_0.2' --workers 12 --dist 0 --accumulation_steps 1 --scheduler cos --attr_dim 300 --img_dim 300 --name_dim 300 --char_dim 300 --hidden_size 300 --tau '0.1' --structure_encoder gat --num_attention_heads 1 --num_hidden_layers 1 --use_surface 0 --use_intermediate 1 --il --il_start 500 --enable_sota

C:\Users\paichichi\Documents\GitHub\MEAformer\main.py:44: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  self.scaler = GradScaler()
INFO - 11/24/25 21:08:53 - 0:00:01 - 94.56% entities have images
INFO - 11/24/25 21:08:53 - 0:00:01 - image feature shape:(27793, 4096)
INFO - 11/24/25 21:08:53 - 0:00:01 - #left entity : 14951, #right entity: 12842
INFO - 11/24/25 21:08:53 - 0:00:01 - #left entity not in train set: 12382, #right entity not in train set: 10273
INFO - 11/24/25 21:08:54 - 0:00:03 - relation feature shape:(27793, 1000)
INFO - 11/24/25 21:08:54 - 0:00:03 - attribute feature shape:(27793, 341)
INFO - 11/24/25 21:08:54 - 0:00:03 - -----dataset summary-----
INFO - 11/24/25 21:08:54 - 0:00:03 - dataset:		 C:\Users\paichichi\Documents\data\mmkg\FBDB15K\norm
INFO - 11/24/25 21:08:54 - 0:00:03 - triple num:	 691241
INFO - 11/24/25 21:08:54 - 0:00:03 - entity num:	 27793
INFO - 11/24/25 21:08:54 - 0:00:03 - relation num:	 1624
INFO - 11/24/25 21:08:54 - 0:00:03 - train ill num:	 2569 	 test ill num:	 10277
INFO - 11/24/25 21:08:54 - 0:00:03 - -------------------------
C:\Users\paichichi\Documents\GitHub\MEAformer\src\utils.py:237: UserWarning: torch.sparse.SparseTensor(indices, values, shape, *, device=) is deprecated.  Please use torch.sparse_coo_tensor(indices, values, shape, dtype=, device=). (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\builder\windows\pytorch\torch\csrc\utils\tensor_new.cpp:653.)
  return torch.sparse.FloatTensor(indices, values, shape)
INFO - 11/24/25 21:08:55 - 0:00:04 - Random init...
INFO - 11/24/25 21:08:55 - 0:00:04 - total params num: 10576806
INFO - 11/24/25 21:08:55 - 0:00:04 - warmup_steps: 75
INFO - 11/24/25 21:08:55 - 0:00:04 - total_steps: 500
INFO - 11/24/25 21:08:55 - 0:00:04 - weight_decay: 0.0005
loading raw data...
27793
getting a sparse tensor r_adj...

  0%|          | 0/1000 [00:00<?, ?it/s]
Train | Ep [0/1000] Step [2/500] LR [0.00001] Loss 91.85035 :   0%|          | 0/1000 [00:35<?, ?it/s]
Train | Ep [0/1000] Step [2/500] LR [0.00001] Loss 91.85035 :   0%|          | 1/1000 [00:35<9:48:49, 35.36s/it]
Train | Ep [1/1000] Step [3/500] LR [0.00001] Loss 91.85165 :   0%|          | 1/1000 [00:35<9:48:49, 35.36s/it]
Train | Ep [1/1000] Step [3/500] LR [0.00001] Loss 91.85165 :   0%|          | 2/1000 [00:35<4:07:14, 14.86s/it]
Train | Ep [2/1000] Step [4/500] LR [0.00002] Loss 91.69087 :   0%|          | 2/1000 [00:36<4:07:14, 14.86s/it]
Train | Ep [2/1000] Step [4/500] LR [0.00002] Loss 91.69087 :   0%|          | 3/1000 [00:36<2:18:06,  8.31s/it]
Train | Ep [3/1000] Step [5/500] LR [0.00003] Loss 91.33397 :   0%|          | 3/1000 [00:36<2:18:06,  8.31s/it]
Train | Ep [3/1000] Step [5/500] LR [0.00003] Loss 91.33397 :   0%|          | 4/1000 [00:36<1:26:52,  5.23s/it]
Train | Ep [4/1000] Step [6/500] LR [0.00003] Loss 90.87305 :   0%|          | 4/1000 [00:37<1:26:52,  5.23s/it]
Train | Ep [4/1000] Step [6/500] LR [0.00003] Loss 90.87305 :   0%|          | 5/1000 [00:37<58:33,  3.53s/it]  
Train | Ep [5/1000] Step [7/500] LR [0.00004] Loss 90.29666 :   0%|          | 5/1000 [00:37<58:33,  3.53s/it]
Train | Ep [5/1000] Step [7/500] LR [0.00004] Loss 90.29666 :   1%|          | 6/1000 [00:37<41:29,  2.50s/it]
Train | Ep [6/1000] Step [8/500] LR [0.00005] Loss 89.66396 :   1%|          | 6/1000 [00:38<41:29,  2.50s/it]
Train | Ep [6/1000] Step [8/500] LR [0.00005] Loss 89.66396 :   1%|          | 7/1000 [00:38<30:41,  1.85s/it]
Train | Ep [7/1000] Step [9/500] LR [0.00005] Loss 89.00111 :   1%|          | 7/1000 [00:38<30:41,  1.85s/it]
Train | Ep [7/1000] Step [9/500] LR [0.00005] Loss 89.00111 :   1%|          | 8/1000 [00:38<23:29,  1.42s/it]
Train | Ep [8/1000] Step [10/500] LR [0.00006] Loss 88.34683 :   1%|          | 8/1000 [00:39<23:29,  1.42s/it]
Train | Ep [8/1000] Step [10/500] LR [0.00006] Loss 88.34683 :   1%|          | 9/1000 [00:39<18:40,  1.13s/it]
Train | Ep [9/1000] Step [11/500] LR [0.00007] Loss 87.65034 :   1%|          | 9/1000 [00:39<18:40,  1.13s/it]
Train | Ep [9/1000] Step [11/500] LR [0.00007] Loss 87.65034 :   1%|          | 10/1000 [00:39<15:25,  1.07it/s]
Train | Ep [10/1000] Step [12/500] LR [0.00007] Loss 86.96172 :   1%|          | 10/1000 [00:40<15:25,  1.07it/s]
Train | Ep [10/1000] Step [12/500] LR [0.00007] Loss 86.96172 :   1%|          | 11/1000 [00:40<13:07,  1.26it/s]
Train | Ep [11/1000] Step [13/500] LR [0.00008] Loss 86.19728 :   1%|          | 11/1000 [00:40<13:07,  1.26it/s]
Train | Ep [11/1000] Step [13/500] LR [0.00008] Loss 86.19728 :   1%|          | 12/1000 [00:40<11:35,  1.42it/s]
Train | Ep [12/1000] Step [14/500] LR [0.00009] Loss 85.37508 :   1%|          | 12/1000 [00:41<11:35,  1.42it/s]
Train | Ep [12/1000] Step [14/500] LR [0.00009] Loss 85.37508 :   1%|▏         | 13/1000 [00:41<10:30,  1.57it/s]
Train | Ep [13/1000] Step [15/500] LR [0.00009] Loss 84.47102 :   1%|▏         | 13/1000 [00:41<10:30,  1.57it/s]
Train | Ep [13/1000] Step [15/500] LR [0.00009] Loss 84.47102 :   1%|▏         | 14/1000 [00:41<09:48,  1.67it/s]
Train | Ep [14/1000] Step [16/500] LR [0.00010] Loss 83.43788 :   1%|▏         | 14/1000 [00:42<09:48,  1.67it/s]
Train | Ep [14/1000] Step [16/500] LR [0.00010] Loss 83.43788 :   2%|▏         | 15/1000 [00:42<09:14,  1.78it/s]
Train | Ep [15/1000] Step [17/500] LR [0.00011] Loss 82.41324 :   2%|▏         | 15/1000 [00:42<09:14,  1.78it/s]
Train | Ep [15/1000] Step [17/500] LR [0.00011] Loss 82.41324 :   2%|▏         | 16/1000 [00:42<08:55,  1.84it/s]
Train | Ep [16/1000] Step [18/500] LR [0.00011] Loss 81.33600 :   2%|▏         | 16/1000 [00:43<08:55,  1.84it/s]
Train | Ep [16/1000] Step [18/500] LR [0.00011] Loss 81.33600 :   2%|▏         | 17/1000 [00:43<08:39,  1.89it/s]
Train | Ep [17/1000] Step [19/500] LR [0.00012] Loss 80.23625 :   2%|▏         | 17/1000 [00:43<08:39,  1.89it/s]
Train | Ep [17/1000] Step [19/500] LR [0.00012] Loss 80.23625 :   2%|▏         | 18/1000 [00:43<08:26,  1.94it/s]
Train | Ep [18/1000] Step [20/500] LR [0.00013] Loss 79.14255 :   2%|▏         | 18/1000 [00:44<08:26,  1.94it/s]
Train | Ep [18/1000] Step [20/500] LR [0.00013] Loss 79.14255 :   2%|▏         | 19/1000 [00:44<08:15,  1.98it/s]
Train | Ep [19/1000] Step [21/500] LR [0.00013] Loss 78.01650 :   2%|▏         | 19/1000 [00:44<08:15,  1.98it/s]
Train | Ep [19/1000] Step [21/500] LR [0.00013] Loss 78.01650 :   2%|▏         | 20/1000 [00:44<08:13,  1.99it/s]
Train | Ep [20/1000] Step [22/500] LR [0.00014] Loss 76.91760 :   2%|▏         | 20/1000 [00:45<08:13,  1.99it/s]
Train | Ep [20/1000] Step [22/500] LR [0.00014] Loss 76.91760 :   2%|▏         | 21/1000 [00:45<08:15,  1.98it/s]
Train | Ep [21/1000] Step [23/500] LR [0.00015] Loss 75.79462 :   2%|▏         | 21/1000 [00:45<08:15,  1.98it/s]
Train | Ep [21/1000] Step [23/500] LR [0.00015] Loss 75.79462 :   2%|▏         | 22/1000 [00:45<08:07,  2.00it/s]
Train | Ep [22/1000] Step [24/500] LR [0.00015] Loss 74.62730 :   2%|▏         | 22/1000 [00:46<08:07,  2.00it/s]
Train | Ep [22/1000] Step [24/500] LR [0.00015] Loss 74.62730 :   2%|▏         | 23/1000 [00:46<08:03,  2.02it/s]
Train | Ep [23/1000] Step [25/500] LR [0.00016] Loss 73.45284 :   2%|▏         | 23/1000 [00:46<08:03,  2.02it/s]
Train | Ep [23/1000] Step [25/500] LR [0.00016] Loss 73.45284 :   2%|▏         | 24/1000 [00:46<07:59,  2.03it/s]
Train | Ep [24/1000] Step [26/500] LR [0.00017] Loss 72.34062 :   2%|▏         | 24/1000 [00:47<07:59,  2.03it/s]
Train | Ep [24/1000] Step [26/500] LR [0.00017] Loss 72.34062 :   2%|▎         | 25/1000 [00:47<08:08,  1.99it/s]
Train | Ep [25/1000] Step [27/500] LR [0.00017] Loss 71.23505 :   2%|▎         | 25/1000 [00:47<08:08,  1.99it/s]
Train | Ep [25/1000] Step [27/500] LR [0.00017] Loss 71.23505 :   3%|▎         | 26/1000 [00:47<08:14,  1.97it/s]
Train | Ep [26/1000] Step [28/500] LR [0.00018] Loss 70.11990 :   3%|▎         | 26/1000 [00:48<08:14,  1.97it/s]
Train | Ep [26/1000] Step [28/500] LR [0.00018] Loss 70.11990 :   3%|▎         | 27/1000 [00:48<08:18,  1.95it/s]
Train | Ep [27/1000] Step [29/500] LR [0.00019] Loss 69.06531 :   3%|▎         | 27/1000 [00:48<08:18,  1.95it/s]
Train | Ep [27/1000] Step [29/500] LR [0.00019] Loss 69.06531 :   3%|▎         | 28/1000 [00:48<08:10,  1.98it/s]
Train | Ep [28/1000] Step [30/500] LR [0.00019] Loss 68.02515 :   3%|▎         | 28/1000 [00:49<08:10,  1.98it/s]
Train | Ep [28/1000] Step [30/500] LR [0.00019] Loss 68.02515 :   3%|▎         | 29/1000 [00:49<08:11,  1.97it/s]
Train | Ep [29/1000] Step [31/500] LR [0.00020] Loss 67.02136 :   3%|▎         | 29/1000 [00:49<08:11,  1.97it/s]
Train | Ep [29/1000] Step [31/500] LR [0.00020] Loss 67.02136 :   3%|▎         | 30/1000 [00:49<08:05,  2.00it/s]
Train | Ep [30/1000] Step [32/500] LR [0.00021] Loss 66.02100 :   3%|▎         | 30/1000 [00:50<08:05,  2.00it/s]
Train | Ep [30/1000] Step [32/500] LR [0.00021] Loss 66.02100 :   3%|▎         | 31/1000 [00:50<07:59,  2.02it/s]
Train | Ep [31/1000] Step [33/500] LR [0.00021] Loss 65.05582 :   3%|▎         | 31/1000 [00:50<07:59,  2.02it/s]
Train | Ep [31/1000] Step [33/500] LR [0.00021] Loss 65.05582 :   3%|▎         | 32/1000 [00:50<07:54,  2.04it/s]
Train | Ep [32/1000] Step [34/500] LR [0.00022] Loss 64.13433 :   3%|▎         | 32/1000 [00:51<07:54,  2.04it/s]
Train | Ep [32/1000] Step [34/500] LR [0.00022] Loss 64.13433 :   3%|▎         | 33/1000 [00:51<07:53,  2.04it/s]
Train | Ep [33/1000] Step [35/500] LR [0.00023] Loss 63.20904 :   3%|▎         | 33/1000 [00:51<07:53,  2.04it/s]
Train | Ep [33/1000] Step [35/500] LR [0.00023] Loss 63.20904 :   3%|▎         | 34/1000 [00:51<07:50,  2.06it/s]
Train | Ep [34/1000] Step [36/500] LR [0.00023] Loss 62.33256 :   3%|▎         | 34/1000 [00:52<07:50,  2.06it/s]
Train | Ep [34/1000] Step [36/500] LR [0.00023] Loss 62.33256 :   4%|▎         | 35/1000 [00:52<07:49,  2.06it/s]
Train | Ep [35/1000] Step [37/500] LR [0.00024] Loss 61.45462 :   4%|▎         | 35/1000 [00:52<07:49,  2.06it/s]
Train | Ep [35/1000] Step [37/500] LR [0.00024] Loss 61.45462 :   4%|▎         | 36/1000 [00:52<07:49,  2.05it/s]
Train | Ep [36/1000] Step [38/500] LR [0.00025] Loss 60.67024 :   4%|▎         | 36/1000 [00:53<07:49,  2.05it/s]
Train | Ep [36/1000] Step [38/500] LR [0.00025] Loss 60.67024 :   4%|▎         | 37/1000 [00:53<07:48,  2.05it/s]
Train | Ep [37/1000] Step [39/500] LR [0.00025] Loss 59.80069 :   4%|▎         | 37/1000 [00:53<07:48,  2.05it/s]
Train | Ep [37/1000] Step [39/500] LR [0.00025] Loss 59.80069 :   4%|▍         | 38/1000 [00:53<07:45,  2.07it/s]
Train | Ep [38/1000] Step [40/500] LR [0.00026] Loss 59.01301 :   4%|▍         | 38/1000 [00:54<07:45,  2.07it/s]
Train | Ep [38/1000] Step [40/500] LR [0.00026] Loss 59.01301 :   4%|▍         | 39/1000 [00:54<07:46,  2.06it/s]
Train | Ep [39/1000] Step [41/500] LR [0.00027] Loss 58.23229 :   4%|▍         | 39/1000 [00:54<07:46,  2.06it/s]
Train | Ep [39/1000] Step [41/500] LR [0.00027] Loss 58.23229 :   4%|▍         | 40/1000 [00:54<07:48,  2.05it/s]
Train | Ep [40/1000] Step [42/500] LR [0.00027] Loss 57.44555 :   4%|▍         | 40/1000 [00:55<07:48,  2.05it/s]
Train | Ep [40/1000] Step [42/500] LR [0.00027] Loss 57.44555 :   4%|▍         | 41/1000 [00:55<07:48,  2.05it/s]
Train | Ep [41/1000] Step [43/500] LR [0.00028] Loss 56.68073 :   4%|▍         | 41/1000 [00:55<07:48,  2.05it/s]
Train | Ep [41/1000] Step [43/500] LR [0.00028] Loss 56.68073 :   4%|▍         | 42/1000 [00:55<07:47,  2.05it/s]
Train | Ep [42/1000] Step [44/500] LR [0.00029] Loss 55.90743 :   4%|▍         | 42/1000 [00:56<07:47,  2.05it/s]
