命令语法不正确。
INFO - 11/25/25 01:52:38 - 0:00:00 - ============ Initialized logger ============
INFO - 11/25/25 01:52:38 - 0:00:00 - The experiment will be stored in C:\Users\paichichi\Documents\data\mmkg\dump/1125-IJCAI_MEAformer_sf_0_500-1000-IL\MEAformer_FBYG15K_0.5_v1_norm_0.5
                                     
INFO - 11/25/25 01:52:38 - 0:00:00 - Running command: python main.py --gpu 0 --eval_epoch 50 --only_test 0 --model_name MEAformer --data_choice FBYG15K --data_split norm --data_rate '0.5' --epoch 1000 --lr '5e-4' --hidden_units '300,300,300' --save_model 0 --batch_size 3500 --semi_learn_step 5 --csls --csls_k 3 --random_seed 42 --exp_name 'IJCAI_MEAformer_sf_0_500-1000-IL' --exp_id 'v1_norm_0.5' --workers 12 --dist 0 --accumulation_steps 1 --scheduler cos --attr_dim 300 --img_dim 300 --name_dim 300 --char_dim 300 --hidden_size 300 --tau '0.1' --structure_encoder gat --num_attention_heads 1 --num_hidden_layers 1 --use_surface 0 --use_intermediate 1 --il --il_start 500 --enable_sota

C:\Users\paichichi\Documents\GitHub\MEAformer\main.py:44: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  self.scaler = GradScaler()
INFO - 11/25/25 01:52:39 - 0:00:01 - 81.17% entities have images
INFO - 11/25/25 01:52:39 - 0:00:02 - image feature shape:(30355, 4096)
INFO - 11/25/25 01:52:39 - 0:00:02 - #left entity : 14951, #right entity: 15404
INFO - 11/25/25 01:52:39 - 0:00:02 - #left entity not in train set: 9352, #right entity not in train set: 9805
INFO - 11/25/25 01:52:41 - 0:00:03 - relation feature shape:(30355, 1000)
INFO - 11/25/25 01:52:41 - 0:00:03 - attribute feature shape:(30355, 123)
INFO - 11/25/25 01:52:41 - 0:00:03 - -----dataset summary-----
INFO - 11/25/25 01:52:41 - 0:00:03 - dataset:		 C:\Users\paichichi\Documents\data\mmkg\FBYG15K\norm
INFO - 11/25/25 01:52:41 - 0:00:03 - triple num:	 715099
INFO - 11/25/25 01:52:41 - 0:00:03 - entity num:	 30355
INFO - 11/25/25 01:52:41 - 0:00:03 - relation num:	 1377
INFO - 11/25/25 01:52:41 - 0:00:03 - train ill num:	 5599 	 test ill num:	 5600
INFO - 11/25/25 01:52:41 - 0:00:03 - -------------------------
C:\Users\paichichi\Documents\GitHub\MEAformer\src\utils.py:237: UserWarning: torch.sparse.SparseTensor(indices, values, shape, *, device=) is deprecated.  Please use torch.sparse_coo_tensor(indices, values, shape, dtype=, device=). (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\builder\windows\pytorch\torch\csrc\utils\tensor_new.cpp:653.)
  return torch.sparse.FloatTensor(indices, values, shape)
INFO - 11/25/25 01:52:42 - 0:00:04 - Random init...
INFO - 11/25/25 01:52:42 - 0:00:04 - total params num: 11280006
INFO - 11/25/25 01:52:42 - 0:00:04 - warmup_steps: 150
INFO - 11/25/25 01:52:42 - 0:00:04 - total_steps: 1000
INFO - 11/25/25 01:52:42 - 0:00:04 - weight_decay: 0.0005
loading raw data...
30355
getting a sparse tensor r_adj...

  0%|          | 0/1000 [00:00<?, ?it/s]
Train | Ep [0/1000] Step [3/1000] LR [0.00001] Loss 193.12920 :   0%|          | 0/1000 [00:34<?, ?it/s]
Train | Ep [0/1000] Step [3/1000] LR [0.00001] Loss 193.12920 :   0%|          | 1/1000 [00:34<9:36:59, 34.65s/it]
Train | Ep [1/1000] Step [5/1000] LR [0.00001] Loss 192.86755 :   0%|          | 1/1000 [00:37<9:36:59, 34.65s/it]
Train | Ep [1/1000] Step [5/1000] LR [0.00001] Loss 192.86755 :   0%|          | 2/1000 [00:37<4:28:00, 16.11s/it]
Train | Ep [2/1000] Step [7/1000] LR [0.00002] Loss 191.78551 :   0%|          | 2/1000 [00:40<4:28:00, 16.11s/it]
Train | Ep [2/1000] Step [7/1000] LR [0.00002] Loss 191.78551 :   0%|          | 3/1000 [00:40<2:49:15, 10.19s/it]
Train | Ep [3/1000] Step [9/1000] LR [0.00003] Loss 190.25339 :   0%|          | 3/1000 [00:44<2:49:15, 10.19s/it]
Train | Ep [3/1000] Step [9/1000] LR [0.00003] Loss 190.25339 :   0%|          | 4/1000 [00:44<2:02:50,  7.40s/it]
Train | Ep [4/1000] Step [11/1000] LR [0.00003] Loss 188.67143 :   0%|          | 4/1000 [00:47<2:02:50,  7.40s/it]
Train | Ep [4/1000] Step [11/1000] LR [0.00003] Loss 188.67143 :   0%|          | 5/1000 [00:47<1:37:10,  5.86s/it]
Train | Ep [5/1000] Step [13/1000] LR [0.00004] Loss 186.73198 :   0%|          | 5/1000 [00:50<1:37:10,  5.86s/it]
Train | Ep [5/1000] Step [13/1000] LR [0.00004] Loss 186.73198 :   1%|          | 6/1000 [00:50<1:21:41,  4.93s/it]
Train | Ep [6/1000] Step [15/1000] LR [0.00005] Loss 184.97116 :   1%|          | 6/1000 [00:53<1:21:41,  4.93s/it]
Train | Ep [6/1000] Step [15/1000] LR [0.00005] Loss 184.97116 :   1%|          | 7/1000 [00:53<1:11:50,  4.34s/it]
Train | Ep [7/1000] Step [17/1000] LR [0.00005] Loss 183.01274 :   1%|          | 7/1000 [00:56<1:11:50,  4.34s/it]
Train | Ep [7/1000] Step [17/1000] LR [0.00005] Loss 183.01274 :   1%|          | 8/1000 [00:56<1:05:22,  3.95s/it]
Train | Ep [8/1000] Step [19/1000] LR [0.00006] Loss 180.96483 :   1%|          | 8/1000 [00:59<1:05:22,  3.95s/it]
Train | Ep [8/1000] Step [19/1000] LR [0.00006] Loss 180.96483 :   1%|          | 9/1000 [00:59<1:01:01,  3.69s/it]
Train | Ep [9/1000] Step [21/1000] LR [0.00007] Loss 178.68977 :   1%|          | 9/1000 [01:02<1:01:01,  3.69s/it]
Train | Ep [9/1000] Step [21/1000] LR [0.00007] Loss 178.68977 :   1%|          | 10/1000 [01:02<58:04,  3.52s/it] 
Train | Ep [10/1000] Step [23/1000] LR [0.00007] Loss 176.18209 :   1%|          | 10/1000 [01:05<58:04,  3.52s/it]
Train | Ep [10/1000] Step [23/1000] LR [0.00007] Loss 176.18209 :   1%|          | 11/1000 [01:05<56:03,  3.40s/it]
Train | Ep [11/1000] Step [25/1000] LR [0.00008] Loss 173.44885 :   1%|          | 11/1000 [01:09<56:03,  3.40s/it]
Train | Ep [11/1000] Step [25/1000] LR [0.00008] Loss 173.44885 :   1%|          | 12/1000 [01:09<54:38,  3.32s/it]
Train | Ep [12/1000] Step [27/1000] LR [0.00009] Loss 170.85625 :   1%|          | 12/1000 [01:12<54:38,  3.32s/it]
Train | Ep [12/1000] Step [27/1000] LR [0.00009] Loss 170.85625 :   1%|▏         | 13/1000 [01:12<53:40,  3.26s/it]
Train | Ep [13/1000] Step [29/1000] LR [0.00009] Loss 168.02681 :   1%|▏         | 13/1000 [01:15<53:40,  3.26s/it]
Train | Ep [13/1000] Step [29/1000] LR [0.00009] Loss 168.02681 :   1%|▏         | 14/1000 [01:15<52:55,  3.22s/it]
Train | Ep [14/1000] Step [31/1000] LR [0.00010] Loss 165.20182 :   1%|▏         | 14/1000 [01:18<52:55,  3.22s/it]
Train | Ep [14/1000] Step [31/1000] LR [0.00010] Loss 165.20182 :   2%|▏         | 15/1000 [01:18<52:27,  3.20s/it]
Train | Ep [15/1000] Step [33/1000] LR [0.00011] Loss 162.34454 :   2%|▏         | 15/1000 [01:21<52:27,  3.20s/it]
Train | Ep [15/1000] Step [33/1000] LR [0.00011] Loss 162.34454 :   2%|▏         | 16/1000 [01:21<52:06,  3.18s/it]
Train | Ep [16/1000] Step [35/1000] LR [0.00011] Loss 159.49796 :   2%|▏         | 16/1000 [01:24<52:06,  3.18s/it]
Train | Ep [16/1000] Step [35/1000] LR [0.00011] Loss 159.49796 :   2%|▏         | 17/1000 [01:24<51:52,  3.17s/it]
Train | Ep [17/1000] Step [37/1000] LR [0.00012] Loss 156.59304 :   2%|▏         | 17/1000 [01:27<51:52,  3.17s/it]
Train | Ep [17/1000] Step [37/1000] LR [0.00012] Loss 156.59304 :   2%|▏         | 18/1000 [01:27<51:39,  3.16s/it]
Train | Ep [18/1000] Step [39/1000] LR [0.00013] Loss 153.70071 :   2%|▏         | 18/1000 [01:31<51:39,  3.16s/it]
Train | Ep [18/1000] Step [39/1000] LR [0.00013] Loss 153.70071 :   2%|▏         | 19/1000 [01:31<51:28,  3.15s/it]
Train | Ep [19/1000] Step [41/1000] LR [0.00013] Loss 150.88895 :   2%|▏         | 19/1000 [01:34<51:28,  3.15s/it]
Train | Ep [19/1000] Step [41/1000] LR [0.00013] Loss 150.88895 :   2%|▏         | 20/1000 [01:34<51:19,  3.14s/it]
Train | Ep [20/1000] Step [43/1000] LR [0.00014] Loss 148.13334 :   2%|▏         | 20/1000 [01:37<51:19,  3.14s/it]
Train | Ep [20/1000] Step [43/1000] LR [0.00014] Loss 148.13334 :   2%|▏         | 21/1000 [01:37<51:13,  3.14s/it]
Train | Ep [21/1000] Step [45/1000] LR [0.00015] Loss 145.40919 :   2%|▏         | 21/1000 [01:40<51:13,  3.14s/it]
Train | Ep [21/1000] Step [45/1000] LR [0.00015] Loss 145.40919 :   2%|▏         | 22/1000 [01:40<51:06,  3.14s/it]
Train | Ep [22/1000] Step [47/1000] LR [0.00015] Loss 142.78328 :   2%|▏         | 22/1000 [01:43<51:06,  3.14s/it]
Train | Ep [22/1000] Step [47/1000] LR [0.00015] Loss 142.78328 :   2%|▏         | 23/1000 [01:43<51:00,  3.13s/it]
Train | Ep [23/1000] Step [49/1000] LR [0.00016] Loss 140.23272 :   2%|▏         | 23/1000 [01:46<51:00,  3.13s/it]
Train | Ep [23/1000] Step [49/1000] LR [0.00016] Loss 140.23272 :   2%|▏         | 24/1000 [01:46<50:55,  3.13s/it]
Train | Ep [24/1000] Step [51/1000] LR [0.00017] Loss 137.76485 :   2%|▏         | 24/1000 [01:49<50:55,  3.13s/it]
Train | Ep [24/1000] Step [51/1000] LR [0.00017] Loss 137.76485 :   2%|▎         | 25/1000 [01:49<50:54,  3.13s/it]
Train | Ep [25/1000] Step [53/1000] LR [0.00017] Loss 135.44434 :   2%|▎         | 25/1000 [01:52<50:54,  3.13s/it]
Train | Ep [25/1000] Step [53/1000] LR [0.00017] Loss 135.44434 :   3%|▎         | 26/1000 [01:52<50:52,  3.13s/it]
Train | Ep [26/1000] Step [55/1000] LR [0.00018] Loss 133.11621 :   3%|▎         | 26/1000 [01:56<50:52,  3.13s/it]
Train | Ep [26/1000] Step [55/1000] LR [0.00018] Loss 133.11621 :   3%|▎         | 27/1000 [01:56<50:49,  3.13s/it]
Train | Ep [27/1000] Step [57/1000] LR [0.00019] Loss 130.95757 :   3%|▎         | 27/1000 [01:59<50:49,  3.13s/it]
Train | Ep [27/1000] Step [57/1000] LR [0.00019] Loss 130.95757 :   3%|▎         | 28/1000 [01:59<50:46,  3.13s/it]
Train | Ep [28/1000] Step [59/1000] LR [0.00019] Loss 128.83981 :   3%|▎         | 28/1000 [02:02<50:46,  3.13s/it]
Train | Ep [28/1000] Step [59/1000] LR [0.00019] Loss 128.83981 :   3%|▎         | 29/1000 [02:02<50:43,  3.13s/it]
Train | Ep [29/1000] Step [61/1000] LR [0.00020] Loss 126.79781 :   3%|▎         | 29/1000 [02:05<50:43,  3.13s/it]
Train | Ep [29/1000] Step [61/1000] LR [0.00020] Loss 126.79781 :   3%|▎         | 30/1000 [02:05<50:40,  3.13s/it]
Train | Ep [30/1000] Step [63/1000] LR [0.00021] Loss 124.73929 :   3%|▎         | 30/1000 [02:08<50:40,  3.13s/it]
Train | Ep [30/1000] Step [63/1000] LR [0.00021] Loss 124.73929 :   3%|▎         | 31/1000 [02:08<50:41,  3.14s/it]
Train | Ep [31/1000] Step [65/1000] LR [0.00021] Loss 122.85003 :   3%|▎         | 31/1000 [02:11<50:41,  3.14s/it]
Train | Ep [31/1000] Step [65/1000] LR [0.00021] Loss 122.85003 :   3%|▎         | 32/1000 [02:11<50:39,  3.14s/it]
Train | Ep [32/1000] Step [67/1000] LR [0.00022] Loss 121.14716 :   3%|▎         | 32/1000 [02:14<50:39,  3.14s/it]
Train | Ep [32/1000] Step [67/1000] LR [0.00022] Loss 121.14716 :   3%|▎         | 33/1000 [02:14<50:36,  3.14s/it]
Train | Ep [33/1000] Step [69/1000] LR [0.00023] Loss 119.37493 :   3%|▎         | 33/1000 [02:18<50:36,  3.14s/it]
Train | Ep [33/1000] Step [69/1000] LR [0.00023] Loss 119.37493 :   3%|▎         | 34/1000 [02:18<50:35,  3.14s/it]
Train | Ep [34/1000] Step [71/1000] LR [0.00023] Loss 117.74605 :   3%|▎         | 34/1000 [02:21<50:35,  3.14s/it]
Train | Ep [34/1000] Step [71/1000] LR [0.00023] Loss 117.74605 :   4%|▎         | 35/1000 [02:21<50:31,  3.14s/it]
Train | Ep [35/1000] Step [73/1000] LR [0.00024] Loss 116.24749 :   4%|▎         | 35/1000 [02:24<50:31,  3.14s/it]
Train | Ep [35/1000] Step [73/1000] LR [0.00024] Loss 116.24749 :   4%|▎         | 36/1000 [02:24<50:27,  3.14s/it]
Train | Ep [36/1000] Step [75/1000] LR [0.00025] Loss 114.66697 :   4%|▎         | 36/1000 [02:27<50:27,  3.14s/it]
Train | Ep [36/1000] Step [75/1000] LR [0.00025] Loss 114.66697 :   4%|▎         | 37/1000 [02:27<50:25,  3.14s/it]
Train | Ep [37/1000] Step [77/1000] LR [0.00025] Loss 113.35625 :   4%|▎         | 37/1000 [02:30<50:25,  3.14s/it]
Train | Ep [37/1000] Step [77/1000] LR [0.00025] Loss 113.35625 :   4%|▍         | 38/1000 [02:30<50:23,  3.14s/it]
Train | Ep [38/1000] Step [79/1000] LR [0.00026] Loss 112.07320 :   4%|▍         | 38/1000 [02:33<50:23,  3.14s/it]
Train | Ep [38/1000] Step [79/1000] LR [0.00026] Loss 112.07320 :   4%|▍         | 39/1000 [02:33<50:21,  3.14s/it]
Train | Ep [39/1000] Step [81/1000] LR [0.00027] Loss 110.79037 :   4%|▍         | 39/1000 [02:36<50:21,  3.14s/it]
Train | Ep [39/1000] Step [81/1000] LR [0.00027] Loss 110.79037 :   4%|▍         | 40/1000 [02:36<50:23,  3.15s/it]
Train | Ep [40/1000] Step [83/1000] LR [0.00027] Loss 109.53538 :   4%|▍         | 40/1000 [02:40<50:23,  3.15s/it]
Train | Ep [40/1000] Step [83/1000] LR [0.00027] Loss 109.53538 :   4%|▍         | 41/1000 [02:40<50:17,  3.15s/it]
Train | Ep [41/1000] Step [85/1000] LR [0.00028] Loss 108.42480 :   4%|▍         | 41/1000 [02:43<50:17,  3.15s/it]
Train | Ep [41/1000] Step [85/1000] LR [0.00028] Loss 108.42480 :   4%|▍         | 42/1000 [02:43<50:12,  3.14s/it]
