rank,sorted_distance,sorted_idx
1,0.0,23776
2,8.35253595141694e-05,29139
3,8.528967009624466e-05,10189
4,8.555693057132885e-05,11772
5,8.583175804233178e-05,20482
6,8.61498701851815e-05,4696
7,8.628915384178981e-05,23306
8,8.63437817315571e-05,21259
9,8.683227497385815e-05,28139
10,8.68959104991518e-05,23223
11,8.694400457898155e-05,7569
12,8.695423457538709e-05,23053
13,8.707455708645284e-05,4067
14,8.719977631699294e-05,3171
15,8.734259608900174e-05,17333
16,8.747218089411035e-05,8487
17,8.763809455558658e-05,7306
18,8.76510821399279e-05,17760
19,8.789011917542666e-05,4971
20,8.790093124844134e-05,10194
21,8.795561734586954e-05,21054
22,8.798003545962274e-05,16025
23,8.816475019557402e-05,3292
24,8.820959919830784e-05,2507
25,8.848358265822753e-05,16793
26,8.852709288476035e-05,25638
27,8.872839680407196e-05,1203
28,8.873664046404883e-05,18542
29,8.885210991138592e-05,9261
30,8.893718040781096e-05,15752
31,8.894006168702617e-05,5825
32,8.895963401300833e-05,8233
33,8.904026617528871e-05,21731
34,8.916053775465116e-05,22184
35,8.917556260712445e-05,2852
36,8.926137525122613e-05,7166
37,8.927031012717634e-05,4514
38,8.935832738643512e-05,26093
39,8.947371679823846e-05,859
40,8.948125469032675e-05,4772
41,8.950215124059469e-05,27552
42,8.951230120146647e-05,8513
43,8.952024654718116e-05,20494
44,8.953582437243313e-05,8480
45,8.95558187039569e-05,5594
46,8.967325993580744e-05,1257
47,8.970416092779487e-05,28149
48,8.971116767497733e-05,31
49,8.976294338935986e-05,22553
50,8.977822290034965e-05,21666
51,8.978976984508336e-05,7660
52,8.980442362371832e-05,9192
53,8.980442362371832e-05,22565
54,8.983404404716566e-05,15786
55,8.990907372208312e-05,18034
56,8.991128561319783e-05,11893
57,8.992537186713889e-05,7500
58,8.99715960258618e-05,25521
59,9.009100904222578e-05,16465
60,9.014979150379077e-05,25704
61,9.028566273627803e-05,5549
62,9.042915917234495e-05,20486
63,9.045722981682047e-05,691
64,9.046270133694634e-05,665
65,9.046930790646002e-05,18351
66,9.047353523783386e-05,5596
67,9.050617518369108e-05,9207
68,9.063640027306974e-05,9729
69,9.068922372534871e-05,5308
70,9.073947876458988e-05,9790
71,9.076913556782529e-05,7554
72,9.085905912797898e-05,19262
73,9.089059312827885e-05,399
74,9.089372906601056e-05,29923
75,9.090037929126993e-05,4665
76,9.090910316444933e-05,533
77,9.091253014048561e-05,2589
78,9.091253014048561e-05,3797
79,9.091253014048561e-05,7968
80,9.091253014048561e-05,8781
81,9.091253014048561e-05,9198
82,9.091253014048561e-05,9569
83,9.091253014048561e-05,10420
84,9.091253014048561e-05,12016
85,9.091253014048561e-05,14257
86,9.091253014048561e-05,23780
87,9.091253014048561e-05,23904
88,9.091253014048561e-05,24174
89,9.091253014048561e-05,24826
90,9.091253014048561e-05,24841
91,9.091253014048561e-05,25148
92,9.091253014048561e-05,25441
93,9.091253014048561e-05,26019
94,9.091253014048561e-05,26107
95,9.091253014048561e-05,26861
96,9.091253014048561e-05,27012
97,9.091253014048561e-05,27353
98,9.091253014048561e-05,27449
99,9.091253014048561e-05,27493
100,9.091253014048561e-05,27733
101,9.091253014048561e-05,29411
102,9.091253014048561e-05,29610
103,9.094201232073829e-05,10325
104,9.095669520320371e-05,26597
105,9.097756264964119e-05,5560
106,9.109172242460772e-05,19304
107,9.111327381106094e-05,16637
108,9.112650877796113e-05,12753
109,9.126721852226183e-05,21072
